Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 5, 5, 5, 5, 7, 5, 3, 5, 3, 5, 5, 3, 5, 3, 7, 5, 7, 5, 3], 'e': [3, 3, 6, 6, 6, 4, 4, 6, 4, 3, 4, 6, 4, 4, 3, 4, 3, 3, 4, 6], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 07:15:57.671200,4258720,0,240276144,75.084
"{'wid': None, 'ks': [3, 3, 7, 7, 5, 5, 5, 3, 7, 5, 5, 5, 3, 3, 5, 3, 5, 3, 5, 5], 'e': [4, 4, 4, 4, 4, 4, 6, 4, 3, 3, 4, 3, 3, 4, 3, 4, 6, 3, 3, 4], 'd': [3, 3, 3, 2, 4], 'r': [224]}",2022-11-01 07:17:25.867694,4619800,0,236720704,75.192
"{'wid': None, 'ks': [5, 7, 5, 5, 3, 5, 5, 3, 5, 5, 3, 5, 3, 5, 3, 5, 5, 5, 7, 3], 'e': [3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4], 'd': [2, 4, 2, 3, 2], 'r': [224]}",2022-11-01 07:18:43.161185,3701952,0,194991664,73.856
"{'wid': None, 'ks': [5, 5, 3, 3, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 3, 5, 7, 3, 3, 3], 'e': [3, 6, 4, 4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 3, 4, 3, 3], 'd': [3, 2, 3, 2, 3], 'r': [224]}",2022-11-01 07:20:04.277105,4043304,0,204359408,74.246
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 5, 3, 3, 5, 5, 3, 5, 5, 7, 5, 5, 3, 3, 5], 'e': [4, 4, 4, 4, 3, 6, 4, 4, 3, 3, 3, 3, 6, 3, 6, 3, 4, 4, 3, 4], 'd': [3, 2, 3, 4, 2], 'r': [224]}",2022-11-01 07:21:38.413069,4436312,0,250381856,75.258
"{'wid': None, 'ks': [5, 5, 5, 5, 7, 5, 7, 7, 3, 3, 3, 3, 3, 3, 3, 5, 7, 3, 5, 5], 'e': [3, 3, 4, 6, 4, 6, 3, 3, 6, 6, 4, 4, 4, 6, 3, 6, 4, 4, 3, 4], 'd': [2, 3, 3, 4, 3], 'r': [224]}",2022-11-01 07:23:04.555024,4932520,0,263309344,75.762
"{'wid': None, 'ks': [7, 3, 3, 7, 7, 7, 3, 5, 7, 7, 3, 3, 5, 7, 3, 5, 3, 5, 3, 5], 'e': [6, 6, 3, 4, 4, 6, 4, 4, 3, 3, 6, 4, 3, 4, 6, 4, 6, 6, 4, 6], 'd': [2, 2, 2, 2, 3], 'r': [224]}",2022-11-01 07:24:36.189004,4779712,0,224381760,74.626
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 5, 5, 7, 7, 7, 7, 5, 5, 5, 3, 5, 7, 3, 7, 5], 'e': [3, 6, 4, 6, 6, 3, 4, 6, 4, 3, 6, 3, 3, 4, 4, 6, 3, 4, 4, 3], 'd': [4, 4, 4, 4, 3], 'r': [224]}",2022-11-01 07:27:04.060459,5007544,0,367104912,76.402
"{'wid': None, 'ks': [3, 5, 7, 3, 5, 5, 5, 3, 5, 3, 5, 5, 7, 3, 5, 3, 7, 5, 5, 3], 'e': [4, 6, 6, 4, 4, 6, 6, 3, 6, 4, 4, 6, 4, 4, 6, 3, 4, 4, 4, 3], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 07:29:04.172407,4815560,0,308394240,76.062
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 3, 5, 5, 3, 7, 3, 5, 5, 5, 5, 5, 7, 3, 3, 5], 'e': [4, 4, 3, 3, 6, 6, 4, 6, 4, 3, 3, 3, 6, 3, 4, 3, 4, 4, 4, 4], 'd': [3, 4, 3, 4, 3], 'r': [224]}",2022-11-01 07:30:39.787597,4773048,0,278086080,76.124
"{'wid': None, 'ks': [3, 5, 5, 5, 5, 5, 7, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 3, 5, 5], 'e': [3, 4, 4, 4, 4, 4, 4, 3, 3, 6, 4, 4, 3, 6, 4, 6, 6, 3, 6, 4], 'd': [2, 4, 3, 2, 3], 'r': [224]}",2022-11-01 07:31:54.950893,4897920,0,225299808,75.016
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 3, 7, 7, 5, 5, 5, 5, 5, 5, 7, 3, 7, 7, 5, 3], 'e': [4, 4, 6, 4, 3, 3, 4, 4, 3, 3, 4, 3, 6, 4, 3, 3, 6, 4, 4, 6], 'd': [4, 4, 4, 3, 2], 'r': [224]}",2022-11-01 07:34:13.148031,4450720,0,316352192,75.684
"{'wid': None, 'ks': [7, 3, 7, 7, 3, 5, 7, 5, 5, 5, 7, 5, 5, 3, 7, 3, 5, 3, 5, 7], 'e': [3, 3, 6, 4, 3, 4, 6, 3, 4, 3, 3, 4, 4, 4, 4, 6, 4, 4, 6, 4], 'd': [3, 2, 2, 4, 4], 'r': [224]}",2022-11-01 07:35:55.302025,5637336,0,278345280,75.792
"{'wid': None, 'ks': [7, 5, 3, 5, 5, 5, 3, 3, 5, 7, 5, 7, 5, 3, 7, 5, 3, 3, 5, 5], 'e': [3, 3, 3, 3, 4, 4, 3, 4, 6, 4, 4, 6, 4, 4, 6, 6, 3, 6, 4, 3], 'd': [3, 4, 3, 3, 3], 'r': [224]}",2022-11-01 07:37:28.862630,5046736,0,260070864,75.78
