Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [5, 3, 7, 7, 5, 5, 5, 5, 5, 3, 3, 7, 7, 3, 5, 3, 5, 5, 5, 3], 'e': [4, 3, 3, 6, 4, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3], 'd': [3, 3, 2, 3, 3], 'r': [224]}",2022-11-01 07:16:22.975990,4376672,0,212578976,74.798
"{'wid': None, 'ks': [5, 5, 7, 5, 3, 3, 5, 7, 5, 5, 3, 5, 3, 5, 5, 3, 3, 5, 5, 5], 'e': [6, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4], 'd': [2, 3, 3, 3, 3], 'r': [224]}",2022-11-01 07:18:07.398714,4227568,0,220014960,74.942
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 7, 7, 5, 5, 5, 5, 3, 5, 5, 3, 3, 5, 3, 3, 3], 'e': [6, 3, 4, 4, 3, 6, 3, 4, 4, 4, 3, 4, 6, 4, 3, 4, 3, 3, 6, 4], 'd': [2, 2, 2, 3, 2], 'r': [224]}",2022-11-01 07:19:46.472422,3851784,0,207740656,73.982
"{'wid': None, 'ks': [5, 3, 5, 3, 5, 5, 5, 3, 3, 5, 3, 3, 3, 5, 3, 7, 5, 5, 5, 5], 'e': [6, 6, 4, 6, 6, 4, 6, 4, 4, 4, 4, 3, 6, 6, 3, 4, 3, 4, 4, 3], 'd': [3, 4, 3, 2, 3], 'r': [224]}",2022-11-01 07:21:37.878807,4598584,0,279132496,75.274
"{'wid': None, 'ks': [5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 3, 5, 3, 5, 3, 5, 5, 7, 7, 5], 'e': [3, 4, 6, 4, 4, 3, 4, 4, 4, 4, 4, 6, 4, 3, 3, 4, 3, 3, 3, 4], 'd': [2, 3, 2, 4, 3], 'r': [224]}",2022-11-01 07:22:56.828138,4203408,0,221610512,74.934
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 7, 5, 3, 5, 7, 5, 5, 3, 7, 3, 5, 5, 5, 3, 5], 'e': [4, 4, 4, 3, 4, 6, 4, 3, 3, 3, 6, 4, 6, 4, 4, 6, 4, 4, 4, 6], 'd': [4, 4, 4, 4, 3], 'r': [224]}",2022-11-01 07:24:47.293212,5170648,0,346097248,76.532
"{'wid': None, 'ks': [3, 3, 7, 5, 3, 7, 3, 5, 7, 3, 3, 3, 5, 3, 5, 3, 5, 7, 7, 5], 'e': [4, 4, 4, 4, 3, 6, 4, 3, 4, 6, 6, 4, 6, 3, 4, 4, 3, 6, 4, 3], 'd': [3, 2, 2, 2, 4], 'r': [224]}",2022-11-01 07:26:22.993396,4939792,0,227996848,74.71
"{'wid': None, 'ks': [7, 5, 3, 5, 5, 5, 3, 5, 5, 7, 5, 3, 5, 5, 5, 5, 3, 3, 7, 5], 'e': [4, 3, 3, 3, 4, 4, 4, 4, 6, 4, 4, 4, 3, 4, 6, 6, 3, 6, 4, 4], 'd': [2, 4, 3, 3, 3], 'r': [224]}",2022-11-01 07:28:11.578399,5023376,0,254451472,75.778
"{'wid': None, 'ks': [7, 3, 7, 5, 3, 5, 5, 3, 5, 7, 5, 5, 3, 5, 5, 3, 3, 5, 7, 7], 'e': [6, 4, 4, 4, 6, 3, 4, 6, 4, 4, 4, 3, 4, 4, 3, 3, 6, 4, 4, 4], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:29:54.184067,5278800,0,324132768,76.466
"{'wid': None, 'ks': [5, 5, 5, 3, 7, 3, 3, 5, 3, 7, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5], 'e': [6, 4, 6, 6, 3, 3, 4, 4, 6, 4, 4, 4, 6, 4, 6, 4, 3, 3, 6, 4], 'd': [2, 2, 3, 3, 2], 'r': [224]}",2022-11-01 07:31:31.257351,4145264,0,225684208,74.314
"{'wid': None, 'ks': [5, 5, 3, 5, 5, 7, 5, 3, 3, 3, 3, 7, 5, 3, 3, 5, 5, 7, 5, 5], 'e': [3, 3, 4, 6, 4, 4, 3, 6, 6, 4, 4, 4, 4, 4, 6, 4, 3, 4, 4, 3], 'd': [3, 3, 2, 3, 4], 'r': [224]}",2022-11-01 07:33:15.539295,4872344,0,238286704,75.48
