Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 7, 7, 3, 5, 5, 3, 5, 7, 5, 5, 3, 3, 7], 'e': [3, 3, 4, 4, 4, 6, 6, 3, 6, 4, 4, 4, 4, 4, 4, 6, 6, 6, 3, 3], 'd': [2, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:09:46.665196,5709176,0,295860576,76.4
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5, 3, 5, 5, 3, 3, 7], 'e': [3, 3, 4, 4, 4, 3, 6, 4, 3, 3, 4, 4, 4, 4, 4, 6, 4, 3, 3, 3], 'd': [2, 3, 3, 3, 4], 'r': [224]}",2022-11-01 07:11:20.704336,4516328,0,221559168,75.24
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 7, 7, 3, 3, 5, 3, 5, 7, 5, 5, 7, 3, 7], 'e': [3, 3, 4, 4, 4, 6, 6, 3, 4, 4, 4, 4, 4, 4, 4, 4, 6, 3, 3, 3], 'd': [2, 3, 3, 3, 4], 'r': [224]}",2022-11-01 07:12:49.074982,4806504,0,250160576,75.816
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5, 3, 5, 5, 3, 3, 7], 'e': [3, 3, 4, 4, 4, 6, 6, 3, 6, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3], 'd': [2, 3, 3, 3, 4], 'r': [224]}",2022-11-01 07:14:25.097017,4590080,0,243165728,75.5
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5, 3, 5, 5, 3, 3, 7], 'e': [3, 3, 4, 4, 4, 6, 6, 3, 3, 4, 4, 4, 4, 4, 4, 4, 6, 6, 3, 3], 'd': [2, 3, 3, 3, 4], 'r': [224]}",2022-11-01 07:16:04.339069,5268504,0,251525376,75.902
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5, 3, 5, 5, 3, 3, 7], 'e': [3, 3, 4, 4, 4, 6, 6, 3, 6, 4, 4, 4, 4, 4, 4, 6, 4, 3, 3, 3], 'd': [2, 3, 3, 3, 4], 'r': [224]}",2022-11-01 07:17:50.401621,4590080,0,243165728,75.5
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5, 3, 5, 5, 3, 3, 7], 'e': [3, 3, 4, 4, 4, 3, 6, 4, 6, 3, 4, 4, 4, 4, 4, 6, 4, 3, 3, 3], 'd': [2, 3, 3, 3, 4], 'r': [224]}",2022-11-01 07:19:29.309700,4537088,0,228356448,75.324
"{'wid': None, 'ks': [7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 3, 5, 7, 5, 5, 7, 3, 7], 'e': [3, 3, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 4, 6, 4, 4, 6, 6, 3, 6], 'd': [2, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:21:31.391489,6278992,0,312013824,76.61
"{'wid': None, 'ks': [7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 3, 5, 7, 5, 5, 7, 3, 7], 'e': [3, 3, 4, 4, 6, 6, 6, 3, 6, 4, 4, 4, 4, 4, 4, 4, 6, 6, 3, 3], 'd': [2, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:23:17.293637,5585200,0,296463328,76.542
"{'wid': None, 'ks': [7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 3, 5, 7, 5, 5, 7, 3, 7], 'e': [3, 3, 4, 4, 4, 6, 6, 3, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 3, 3], 'd': [2, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:25:10.702876,5558768,0,284962976,76.384
